Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-GA,GA-9,106600,94500,7548000,184875,700900,2431000,705500,30712500,406700,445650,996750,83700
US,US-HI,HI-1,123700,109450,8771750,214100,811700,2816000,817000,35520000,470900,515850,1152750,96850
US,US-HI,HI-2,99400,88100,7034750,172350,653300,2267000,657500,28620000,379100,415650,929250,78000
US,US-IA,IA-1,716500,639700,51002250,1251175,4747500,16460000,4775500,209490000,2754400,3021900,6799500,565100
US,US-IA,IA-2,623000,558650,44135000,1092625,4144300,14367000,4170500,183337500,2406000,2645325,5963250,494050
US,US-IA,IA-3,940800,839550,66889000,1642100,6231500,21587000,6267500,274905000,3612300,3967500,8934000,741650
US,US-IA,IA-4,436200,389700,31027000,762175,2892800,10024000,2909000,127507500,1677000,1841550,4141500,343650
US,US-ID,ID-1,125200,111100,8849500,217250,823600,2856000,829000,36075000,477900,524025,1172250,98400
US,US-ID,ID-2,131900,117000,9323000,228800,867300,3008000,873000,37995000,503300,551775,1233750,103600
US,US-IL,IL-1,101500,89950,7186750,175975,667100,2314000,671500,29220000,387000,424275,949500,79650
US,US-IL,IL-10,106000,93850,7520750,183550,696000,2414000,700500,30472500,403700,442200,989250,83050
US,US-IL,IL-11,129400,114100,9217250,223200,846600,2936000,851500,37027500,490900,536625,1199250,101000
US,US-IL,IL-12,265500,232350,19181500,454475,1725200,5986000,1733500,75262500,1000100,1087350,2424000,205550
US,US-IL,IL-13,205400,180200,14795750,352400,1337500,4643000,1344500,58342500,775600,843900,1881750,159100
US,US-IL,IL-14,405200,356150,29284000,696550,2644800,9179000,2657500,115402500,1532800,1668600,3719250,314100
US,US-IL,IL-15,111500,98500,7945500,192675,730800,2535000,735000,31927500,423900,463425,1034250,87100
US,US-IL,IL-16,119700,105800,8497500,206950,784900,2723000,789500,34342500,455300,498300,1113750,93550
US,US-IL,IL-17,82500,73200,5834250,143175,542900,1882000,546500,23790000,314700,345375,773250,64700
US,US-IL,IL-18,84600,74850,6001250,146375,555100,1925000,558500,24300000,322000,352575,788250,66200
US,US-IL,IL-2,133300,117750,9408000,230250,872700,3029000,878500,38212500,506500,554100,1239000,104350
US,US-IL,IL-3,135700,120300,9614250,235325,892100,3095000,898000,39082500,517600,567300,1269000,106550
US,US-IL,IL-4,115600,102450,8184500,200375,759700,2635000,764500,33262500,440700,483150,1080750,90650
US,US-IL,IL-5,177500,157350,12549000,307775,1166700,4046000,1174500,51105000,676800,742425,1661250,139250
US,US-IL,IL-6,433500,378350,31255000,740050,2808800,9749000,2822500,122512500,1628200,1767825,3942000,334800
US,US-IL,IL-7,325500,287600,23023250,562475,2132900,7396000,2146000,93060000,1236600,1355850,3024750,253700
US,US-IL,IL-8,223000,196350,15897500,384000,1456600,5052000,1465000,63690000,844600,922350,2061750,173900
US,US-IL,IL-9,193300,171500,13658000,335425,1271500,4410000,1280000,55717500,737600,809475,1812000,151800
US,US-IN,IN-1,400200,349900,28779000,684350,2596800,9011000,2610500,113385000,1505600,1637325,3653250,309750
US,US-IN,IN-2,432700,377650,31134750,738700,2803400,9726000,2817500,122325000,1624800,1766550,3940500,334200
US,US-IN,IN-3,455800,397450,32883500,777400,2950700,10241000,2965000,128707500,1710200,1856925,4140750,351800
US,US-IN,IN-4,472600,412150,34093750,806150,3059700,10617000,3075000,133522500,1773600,1926300,4296750,364950
US,US-IN,IN-5,582400,507600,41934250,992850,3767900,13072000,3787000,164392500,2183700,2372100,5290500,449600
US,US-IN,IN-6,459000,400000,33092750,782375,2969600,10304000,2984000,129585000,1721100,1868850,4170750,354300
US,US-IN,IN-7,507100,442300,36621250,865075,3283200,11395000,3299500,143250000,1903300,2067600,4608750,391400
US,US-IN,IN-8,394500,344000,28394250,672825,2553300,8861000,2566000,111412500,1480100,1607400,3587250,304800
US,US-IN,IN-9,540000,471650,38925250,922475,3500600,12148000,3518500,152842500,2029600,2206050,4920750,417550
US,US-KS,KS-1,100000,88350,7117500,172800,655300,2273000,659500,28687500,380200,415875,930000,78150
US,US-KS,KS-2,499200,435300,35934750,851375,3232000,11209000,3247000,141000000,1872600,2032950,4545000,385750
US,US-KS,KS-3,595300,518750,42827750,1014575,3850700,13350000,3869500,168187500,2231400,2423025,5421000,460200
US,US-KS,KS-4,108900,96450,7720500,188650,715200,2481000,720000,31350000,415100,454725,1017750,85400
US,US-KY,KY-1,162100,144950,11463250,283475,1074300,3730000,1082000,47467500,624900,685125,1541250,128900
US,US-KY,KY-2,220800,197300,15605500,385900,1462600,5078000,1472500,64590000,850600,932400,2097000,175350
US,US-KY,KY-3,309400,277600,21874000,542925,2058100,7145000,2072500,91192500,1197400,1313700,2960250,246500
US,US-KY,KY-4,208700,186550,14748250,364925,1383300,4800000,1393000,61080000,803700,882075,1983000,165550
US,US-KY,KY-5,166900,149350,11815000,292150,1107700,3844000,1115000,48990000,644100,706275,1589250,132450
US,US-KY,KY-6,623700,549000,44611500,1073750,4074600,14141000,4096000,178395000,2363400,2572800,5756250,486550
US,US-LA,LA-1,163600,145550,11535250,284675,1078800,3741000,1086500,47317500,626000,687525,1539000,129200
US,US-LA,LA-2,215000,191100,15150250,373775,1416500,4911000,1426500,62100000,821500,902925,2020500,169400
US,US-LA,LA-3,144400,128650,10186500,251600,953500,3307000,960500,41902500,553300,607950,1362000,114150
US,US-LA,LA-4,120300,106900,8479500,209125,792500,2748000,798000,34755000,459700,505050,1129500,94850
US,US-LA,LA-5,100200,89200,7069250,174425,661000,2292000,665500,29010000,383500,421275,942750,79100
US,US-LA,LA-6,126700,112700,8922500,220425,835200,2896000,841000,36667500,484500,532425,1191750,100050
US,US-MA,MA-1,145900,129250,10303250,252825,958500,3325000,965000,41977500,556000,609525,1363500,114450
US,US-MA,MA-2,164100,145400,11615250,284425,1078400,3741000,1085500,47250000,625900,685500,1534500,128750
US,US-MA,MA-3,225000,197450,16005750,386250,1465100,5074000,1473500,64155000,849500,927150,2077500,175450
US,US-MA,MA-4,163300,144850,11541250,283275,1074000,3725000,1081000,47077500,623000,683175,1530000,128200
US,US-MA,MA-5,214200,189750,15109750,371175,1406900,4881000,1416500,61702500,816400,894900,2004750,168150
US,US-MA,MA-6,190200,168650,13440500,329875,1250500,4337000,1258500,54847500,725600,795300,1782000,149500
US,US-MA,MA-7,265000,233700,18706500,457050,1733000,6011000,1743500,75757500,1005200,1099875,2458500,206650
US,US-MA,MA-8,225600,200250,15940000,391700,1484900,5151000,1494500,65152500,861900,945000,2118000,177400
US,US-MA,MA-9,177600,157450,12538750,307950,1167200,4049000,1175000,51195000,677400,742200,1663500,139750
US,US-MD,MD-1,113000,100150,7976250,195925,742700,2576000,747500,32512500,430900,472650,1056750,88750
US,US-MD,MD-2,148300,131450,10478500,257100,974600,3380000,981000,42682500,565300,620175,1387500,116350
US,US-MD,MD-3,128900,114250,9102750,223475,847100,2938000,853000,37117500,491400,539175,1206750,101200
US,US-MD,MD-4,104100,92350,7344750,180600,684600,2373000,689000,29977500,396900,435825,975000,81700
US,US-MD,MD-5,136800,121300,9654750,237275,899500,3119000,905500,39390000,521600,572550,1281000,107350
US,US-MD,MD-6,232000,203300,16565500,397625,1507800,5230000,1517000,65902500,874500,953850,2127750,179900
US,US-MD,MD-7,93800,83100,6621500,162575,616300,2136000,620500,26985000,357300,392175,877500,73650
US,US-MD,MD-8,236300,209150,16711750,409125,1551000,5375000,1561000,67927500,899400,986475,2208000,185150
US,US-ME,ME-1,344700,303650,24731500,593950,2252800,7822000,2266000,98715000,1307700,1425975,3189000,268800
US,US-ME,ME-2,439400,384450,31583000,751950,2853400,9898000,2868500,124762500,1654000,1799700,4026750,340600
US,US-MI,MI-1,170300,150550,12113000,294500,1116700,3876000,1123500,48960000,648600,708300,1584000,133300
US,US-MI,MI-10,161200,142550,11463250,278850,1057400,3671000,1064000,46380000,614400,670575,1500000,126250
US,US-MI,MI-11,646800,568350,46597750,1111625,4218900,14654000,4240500,184297500,2448100,2662575,5936250,501950
US,US-MI,MI-12,374500,330700,26650750,646775,2452900,8513000,2467500,107437500,1424700,1554375,3474750,292700
US,US-MI,MI-13,205700,181000,14699500,354000,1343300,4660000,1350500,58657500,779500,848925,1893750,159900
US,US-MI,MI-14,326500,287050,23343000,561450,2130300,7388000,2142000,93037500,1236000,1346175,3006000,253950
US,US-MI,MI-2,204500,180500,14595000,353075,1339300,4649000,1347000,58650000,777600,848475,1896000,159650
US,US-MI,MI-3,242800,214450,17277750,419400,1590600,5520000,1600000,69645000,923100,1008525,2254500,189650
US,US-MI,MI-4,151100,133750,10724750,261575,991800,3442000,998000,43485000,575700,629775,1409250,118400
US,US-MI,MI-5,178000,157150,12624500,307425,1165600,4046000,1173000,51082500,676800,739125,1653000,139250
US,US-MI,MI-6,246100,216400,17665750,423225,1605400,5574000,1614500,70252500,931700,1014975,2268000,191400
US,US-MI,MI-7,211300,186650,15026000,365050,1384600,4804000,1393000,60585000,803400,877875,1961250,164950
US,US-MI,MI-8,570400,500850,41232000,979650,3719900,12912000,3737000,162300000,2157300,2344575,5226000,441900
US,US-MI,MI-9,249600,220550,17730750,431425,1635800,5680000,1646000,71752500,950500,1037250,2320500,195400
US,US-MN,MN-1,578500,504250,41984000,986275,3744200,12988000,3762000,163267500,2169500,2355375,5248500,445850
US,US-MN,MN-2,502600,439200,36386250,858975,3260700,11316000,3276500,142327500,1890100,2053125,4579500,388350
US,US-MN,MN-3,330000,288550,23708750,564375,2141700,7429000,2153000,93570000,1241500,1350300,3017250,255600
US,US-MN,MN-4,304800,268000,21837750,524150,1988500,6898000,1999500,86985000,1153100,1257900,2811000,237250
US,US-MN,MN-5,629100,553000,44969750,1081575,4103000,14232000,4126000,179452500,2379100,2595975,5800500,489500
US,US-MN,MN-6,153700,135300,10971500,264675,1003900,3483000,1010000,43905000,582200,635625,1419750,119750
US,US-MN,MN-7,192800,169200,13798500,330975,1255900,4354000,1262500,54885000,727800,793500,1773000,149800
US,US-MN,MN-8,454400,395100,32726000,772775,2933300,10166000,2947500,128100000,1698900,1845000,4128750,350700
US,US-MO,MO-1,1173500,1023850,84630250,2002500,7602700,26382000,7637500,331470000,4406200,4779375,10673250,906600
US,US-MO,MO-2,694900,605400,50089250,1184125,4495400,15597000,4516000,196005000,2605100,2825100,6306750,536250
US,US-MO,MO-3,535000,466250,38516000,911925,3461900,12011000,3478000,151012500,2006500,2175525,4862250,413400
US,US-MO,MO-4,514100,448500,37019250,877250,3330300,11554000,3346000,145282500,1930100,2094000,4680000,397450
US,US-MO,MO-5,773200,675000,55661000,1320225,5012000,17390000,5035500,218632500,2905000,3151650,7042500,598050
US,US-MO,MO-6,468100,408100,33668500,798175,3030100,10512000,3044000,132187500,1756100,1904700,4257750,361800
US,US-MO,MO-7,532300,464400,38291250,908325,3448200,11962000,3464500,150435000,1998500,2168175,4845750,411650
US,US-MO,MO-8,419400,365900,30188000,715650,2716800,9426000,2729500,118530000,1574800,1708050,3818250,324350
US,US-MS,MS-1,179300,158250,12721250,309500,1174800,4086000,1181000,51195000,680200,741600,1649250,139950
US,US-MS,MS-2,144600,127650,10249750,249700,947800,3298000,952500,41287500,548800,598350,1329750,113000
US,US-MS,MS-3,203000,179300,14390000,350650,1331000,4631000,1338000,58005000,770600,840525,1869000,158600
US,US-MS,MS-4,216600,191250,15338500,374025,1419400,4938000,1427000,61867500,822100,896625,1994250,169250
US,US-MT,MT-AT LARGE,1618300,1407950,116799750,2753775,10454400,36254000,10503000,456097500,6058000,6568050,14674500,1248700
US,US-NC,NC-1,158300,140600,11196500,275000,1042600,3616000,1049500,45697500,605000,663675,1485000,124400
US,US-NC,NC-10,124000,109900,8774500,214925,814900,2826000,820000,35647500,472800,518250,1158000,97300
US,US-NC,NC-11,180400,160100,12744500,313175,1187200,4118000,1195000,51982500,688800,755625,1689750,141650
US,US-NC,NC-12,430500,380350,30661750,743875,2820100,9800000,2838000,123532500,1639400,1788375,3999000,337250
US,US-NC,NC-13,232800,204950,16773500,400825,1521400,5283000,1529000,66390000,882600,960750,2141250,181000
US,US-NC,NC-2,304500,268550,21869500,525225,1992700,6918000,2004000,87127500,1156000,1261500,2816250,237250
US,US-NC,NC-3,160900,143250,11352000,280150,1061900,3684000,1069000,46537500,616200,676950,1514250,126550
US,US-NC,NC-4,209000,185700,14788750,363200,1376800,4776000,1386000,60352500,799300,876450,1962000,164450
US,US-NC,NC-5,151000,133650,10712500,261450,991500,3439000,997500,43410000,575300,629775,1408500,118300
US,US-NC,NC-6,150900,133650,10724500,261400,991500,3439000,997500,43380000,575200,629700,1407000,118100
US,US-NC,NC-7,155200,137800,10974750,269500,1021700,3544000,1028500,44782500,593000,650250,1455000,122000
US,US-NC,NC-8,183400,162450,13019000,317775,1205000,4182000,1212500,52740000,699600,765675,1711500,143650
US,US-NC,NC-9,712500,638500,50994750,1248875,4728000,16484000,4763500,209145000,2766000,3012675,6790500,572950
US,US-ND,ND-AT LARGE,917900,797050,66137750,1558950,5917900,20520000,5945000,258120000,3428300,3715725,8301750,706800
US,US-NE,NE-1,107500,95200,7641500,186200,706000,2450000,710500,30937500,409800,448575,1003500,84300
US,US-NE,NE-2,290600,255650,20781500,500000,1897000,6579000,1907500,82920000,1100100,1200075,2682750,226300
US,US-NE,NE-3,83500,73900,5942750,144550,548200,1903000,551500,24015000,318300,348000,778500,65450
US,US-NH,NH-1,572400,511600,40438000,1000600,3793400,13155000,3818500,167370000,2203500,2418450,5439000,453950
US,US-NH,NH-2,518200,463100,36696000,905800,3434600,11910000,3457000,151590000,1994800,2190000,4925250,410400
US,US-NJ,NJ-1,225000,199000,16009000,389175,1476400,5121000,1485000,64620000,856300,936300,2094000,175750
US,US-NJ,NJ-10,225400,198400,16118000,388000,1472300,5109000,1480000,64252500,853900,930750,2076000,175300
US,US-NJ,NJ-11,416500,365650,29911000,715175,2714100,9424000,2728000,118425000,1574200,1712550,3816750,323050
US,US-NJ,NJ-12,220200,194000,15737750,379450,1439700,4995000,1447500,62887500,835000,911025,2034000,171600
US,US-NJ,NJ-2,210800,186350,15039500,364450,1383100,4797000,1390500,60487500,802000,875850,1957500,164650
US,US-NJ,NJ-3,537700,471750,38639000,922725,3503200,12151000,3520000,152977500,2029600,2209650,4935750,417100
US,US-NJ,NJ-4,251300,221100,18011250,432500,1641300,5695000,1650000,71655000,951700,1037100,2313750,195550
US,US-NJ,NJ-5,238800,210150,17084250,411025,1559600,5411000,1568000,68137500,904500,986400,2201250,185750
US,US-NJ,NJ-6,192900,170250,13762000,333025,1263500,4384000,1270500,55185000,732900,799950,1785750,150550
US,US-NJ,NJ-7,680400,593250,49147000,1160300,4404100,15275000,4425500,192247500,2551900,2772150,6192000,525350
US,US-NJ,NJ-8,361300,318800,25710000,623550,2365500,8205000,2379000,103312500,1371700,1498800,3345750,281650
US,US-NJ,NJ-9,259100,229200,18431250,448300,1700400,5898000,1710500,74385000,986300,1078500,2410500,202700
US,US-NM,NM-1,213500,188100,15221500,367950,1395300,4842000,1403500,61035000,809400,884100,1974750,166450
US,US-NM,NM-2,443900,389550,32087750,761875,2891900,10041000,2906500,126270000,1677000,1824225,4067250,344050
US,US-NM,NM-3,150600,132550,10761500,259300,983500,3412000,989000,43012500,570400,622575,1392000,117400
US,US-NV,NV-1,1397800,1223200,100924750,2392425,9081100,31539000,9125000,396375000,5268300,5716650,12749250,1081950
US,US-NV,NV-2,900100,787450,64863000,1540125,5845300,20293000,5874500,255405000,3390600,3680700,8226000,697850
US,US-NV,NV-3,1260300,1104250,90956500,2159825,8196400,28462000,8238500,358305000,4755400,5166750,11538750,977850
US,US-NV,NV-4,638200,559900,46001000,1095125,4155400,14431000,4177500,181800000,2411600,2621100,5857500,496050
US,US-NY,NY-1,216500,190750,15467750,373050,1414800,4910000,1423000,61897500,820900,896025,2001750,168850
US,US-NY,NY-10,257000,227500,18212000,445000,1687300,5850000,1698000,73837500,978500,1072650,2400000,201150
US,US-NY,NY-11,233400,205800,16706500,402525,1527300,5297000,1536000,66787500,885400,967050,2160750,181750
US,US-NY,NY-12,319200,282150,22571000,551850,2092700,7254000,2105500,91410000,1213200,1330350,2973000,249000
US,US-NY,NY-13,173600,153700,12269750,300625,1139800,3951000,1147000,49875000,661000,724800,1621500,135950
US,US-NY,NY-14,143900,127500,10176000,249400,945600,3279000,951500,41422500,548600,601350,1347000,112900
US,US-NY,NY-15,152600,135100,10782500,264225,1001800,3473000,1008500,43852500,581000,636975,1425750,119550
US,US-NY,NY-16,125600,111300,8871000,217675,825200,2861000,830500,36157500,478700,524850,1176000,98600
US,US-NY,NY-17,135700,120200,9581500,235150,891400,3091000,897500,39052500,517000,567000,1269750,106500
US,US-NY,NY-18,147800,130800,10481750,255825,970300,3364000,976000,42487500,562600,616200,1379250,115700
US,US-NY,NY-19,517300,452700,37413000,885400,3361800,11667000,3377500,146565000,1948500,2116200,4720500,400200
US,US-NY,NY-2,105000,92950,7440250,181800,689300,2390000,693500,30187500,399900,438000,980250,82300
US,US-NY,NY-20,200700,177000,14293500,346175,1313000,4553000,1321000,57420000,761500,832425,1860750,156600
US,US-NY,NY-21,121800,107450,8667000,210200,797100,2766000,802000,34882500,462400,505425,1129500,95100
US,US-NY,NY-22,458900,401400,33089000,785125,2980100,10347000,2994500,129982500,1728100,1876650,4183500,354850
US,US-NY,NY-23,165800,146050,11812750,285700,1083800,3757000,1090000,47377500,628500,686550,1534500,129150
US,US-NY,NY-24,265900,233550,19110000,456775,1733300,6015000,1742500,75667500,1005000,1095375,2444250,206350
US,US-NY,NY-25,144400,127500,10263500,249400,945800,3279000,951500,41392500,548600,600075,1342500,112900
US,US-NY,NY-26,140700,124600,9952500,243675,923900,3204000,930000,40455000,535900,587325,1314750,110300
US,US-NY,NY-27,95500,84550,6777000,165375,627100,2175000,631000,27450000,363800,398250,891000,74850
US,US-NY,NY-3,159700,141200,11350250,276200,1047400,3633000,1054000,45855000,607400,664800,1487250,125100
US,US-NY,NY-4,141200,125000,10008000,244500,927100,3215000,933000,40590000,537800,588975,1317750,110700
US,US-NY,NY-5,107900,95600,7631750,186975,708900,2458000,713500,31042500,411200,450675,1009500,84700
US,US-NY,NY-6,94300,83600,6671500,163500,619800,2149000,624000,27157500,359600,394125,882750,74050
US,US-NY,NY-7,232700,206300,16439750,403500,1529700,5303000,1539500,67005000,887100,973575,2180250,182500
US,US-NY,NY-8,72800,64400,5147000,125950,477500,1655000,480500,20902500,276900,303525,679500,57050
US,US-NY,NY-9,118500,104750,8387250,204900,776900,2693000,782000,33982500,450600,493650,1104750,92700
US,US-OH,OH-1,522000,455250,37536500,890450,3379600,11718000,3396500,147562500,1958800,2127225,4751250,403650
US,US-OH,OH-10,130500,115200,9263250,225350,854500,2963000,860000,37410000,495600,542325,1212750,102000
US,US-OH,OH-11,161200,142750,11411750,279175,1058500,3670000,1065500,46335000,613800,672750,1504500,126300
US,US-OH,OH-12,436600,380300,30583000,743825,2819900,9773000,2836000,122677500,1630000,1774050,3955500,337500
US,US-OH,OH-13,119700,105800,8514250,206975,785000,2722000,789500,34335000,455200,498150,1112250,93600
US,US-OH,OH-14,151900,134400,10791250,262875,996900,3458000,1003000,43635000,578300,632925,1414500,118950
US,US-OH,OH-15,346200,302850,24590750,592325,2246900,7791000,2259000,98055000,1301600,1417200,3165000,268350
US,US-OH,OH-16,125500,111050,8889250,217250,823700,2856000,829000,36067500,477700,523200,1170000,98300
US,US-OH,OH-2,240300,210900,17029750,412450,1564300,5421000,1573500,68385000,907000,989700,2212500,186900
US,US-OH,OH-3,218200,191600,15415500,374725,1421200,4927000,1429500,61980000,822800,898275,2004750,169500
US,US-OH,OH-4,159900,141100,11283250,275950,1046400,3627000,1053000,45652500,606300,663975,1482000,124600
US,US-OH,OH-5,112700,99750,7975750,195100,739800,2564000,744500,32347500,429000,470250,1050000,88200
US,US-OH,OH-6,111200,98050,7927750,191775,727500,2523000,731500,31762500,421800,461025,1028250,86600
US,US-OH,OH-7,129400,114000,9140000,222950,845400,2931000,850500,36975000,490000,535800,1198500,100950
US,US-OH,OH-8,112200,99000,7961000,193650,734400,2546000,739000,32137500,426000,465900,1041750,87600
US,US-OH,OH-9,98200,87000,6953250,170125,645100,2237000,649000,28245000,374200,409950,916500,77000
US,US-OK,OK-1,166200,147000,11823000,287525,1090400,3784000,1097000,47722500,632900,691875,1546500,130150
US,US-OK,OK-2,103300,91300,7318500,178525,676700,2350000,681000,29640000,393000,429675,960000,80700
US,US-OK,OK-3,93300,82550,6636250,161450,612100,2124000,616000,26797500,355200,388800,869250,73050
US,US-OK,OK-4,122300,108200,8677000,211600,802200,2783000,807500,35085000,465400,509850,1138500,95700
US,US-OK,OK-5,270500,238950,19359500,467375,1773300,6154000,1783000,77347500,1028900,1123125,2505000,210950
US,US-OR,OR-1,172600,152950,12212250,299175,1134100,3934000,1141500,49672500,658000,721275,1613250,135450
US,US-OR,OR-2,291500,256100,20813000,500875,1899700,6589000,1911000,83017500,1101700,1202400,2684250,226650
US,US-OR,OR-3,231500,205200,16378750,401300,1521300,5277000,1531500,66607500,882700,967800,2164500,181600
US,US-OR,OR-4,153000,135600,10831500,265225,1005400,3487000,1012000,44040000,583400,639450,1430250,120050
US,US-OR,OR-5,181600,160950,12854500,314850,1193500,4140000,1201500,52282500,692400,759075,1698000,142550
US,US-PA,PA-1,502700,442500,36266750,865475,3285200,11408000,3301500,143535000,1906500,2073750,4626750,391000
US,US-PA,PA-10,222300,196350,15923750,384000,1456800,5057000,1465000,63787500,845800,922575,2061000,173600
US,US-PA,PA-11,160800,142450,11460250,278600,1056400,3667000,1063000,46357500,613600,670725,1500750,126050
US,US-PA,PA-12,203100,179950,14444000,351975,1335000,4633000,1343000,58507500,774800,848850,1902000,158550
US,US-PA,PA-13,145800,129050,10413000,252375,957100,3323000,963000,41962500,555800,607350,1358250,114100
US,US-PA,PA-14,139800,124000,9934000,242550,919700,3192000,925500,40387500,534300,584325,1308750,109850
US,US-PA,PA-15,105800,93850,7523250,183525,695900,2416000,700500,30540000,404300,442275,990000,83000
US,US-PA,PA-16,189300,167450,13557250,327500,1242300,4314000,1249500,54472500,721900,787200,1761000,148150
US,US-PA,PA-17,179700,158850,12791750,310675,1178400,4089000,1185500,51660000,683700,747600,1674750,140650
US,US-PA,PA-18,333800,294800,23767750,576575,2186800,7586000,2200000,95835000,1268800,1386600,3105750,261100
US,US-PA,PA-2,202800,178950,14447000,350000,1327300,4607000,1335500,58177500,770800,841125,1882500,158400
US,US-PA,PA-3,284600,251200,20261250,491325,1863500,6464000,1874500,81487500,1080900,1181625,2640750,222000
US,US-PA,PA-4,287000,254000,20456000,496800,1884300,6542000,1895500,82605000,1094100,1195275,2674500,224800
US,US-PA,PA-5,241700,213600,17185000,417825,1584500,5498000,1594000,69442500,919500,1005525,2250000,188800
US,US-PA,PA-6,286300,252550,20512750,493925,1873600,6504000,1884500,82102500,1087800,1186125,2652000,223600
US,US-PA,PA-7,202400,179050,14457250,350225,1328400,4610000,1336500,58260000,771400,842475,1885500,158450
US,US-PA,PA-8,190500,168000,13608500,328575,1246300,4322000,1253500,54645000,723300,789525,1767750,148700
US,US-PA,PA-9,144100,127500,10284750,249400,945800,3283000,951500,41497500,549300,600075,1343250,112850
US,US-RI,RI-1,97300,86350,6881750,168925,640400,2221000,644500,28080000,371600,407550,912750,76500
US,US-RI,RI-2,104200,92350,7364750,180675,684900,2375000,689500,29992500,397300,435750,975000,81800
US,US-SC,SC-1,306800,273350,21685250,534650,2026200,7031000,2040500,89152500,1177000,1290900,2896500,242750
US,US-SC,SC-2,251800,225100,17778750,440275,1668200,5790000,1680500,73620000,969800,1064400,2392500,200150
US,US-SC,SC-3,141500,125950,9973750,246325,933400,3238000,940000,41017500,541800,594975,1334250,111800
US,US-SC,SC-4,210000,187200,14810000,366200,1387300,4816000,1397500,61110000,806400,884625,1986000,166500
US,US-SC,SC-5,283700,253250,20059250,495325,1876300,6517000,1890000,82665000,1091700,1196550,2689500,225650
US,US-SC,SC-6,194600,174050,13745750,340375,1290100,4475000,1299000,56940000,749500,823125,1851000,154450
US,US-SC,SC-7,298200,266550,21024500,521300,1974300,6855000,1989500,87082500,1148600,1260075,2832000,237750
US,US-SD,SD-AT LARGE,192300,169800,13695500,332125,1259500,4370000,1267000,55042500,730200,798075,1779750,150150
US,US-TN,TN-1,526600,458650,37795750,897025,3403800,11813000,3421000,148567500,1973700,2142375,4782000,406250
US,US-TN,TN-2,581800,506600,41723750,990875,3759900,13049000,3779000,164130000,2180000,2365950,5283000,448950
US,US-TN,TN-3,505800,440450,36261250,861450,3268800,11345000,3285500,142702500,1895500,2056950,4593000,390300
US,US-TN,TN-4,533400,464450,38318750,908375,3447200,11964000,3464500,150457500,1998600,2168625,4842000,411400
US,US-TN,TN-5,1229800,1073000,88483500,2098700,7964300,27641000,8004500,347602500,4617700,5015925,11196000,949650
US,US-TN,TN-6,518400,451150,37174500,882400,3348200,11621000,3365000,146167500,1941400,2106450,4702500,399750
US,US-TN,TN-7,490900,427650,35275500,836475,3174300,11016000,3190000,138570000,1840300,1997400,4461000,378900
US,US-TN,TN-8,398500,346800,28619000,678325,2574100,8935000,2587000,112365000,1492700,1619175,3614250,307250
US,US-TN,TN-9,654300,570450,47119750,1115750,4234300,14698000,4255500,184762500,2455000,2664600,5947500,504850
US,US-TX,TX-1,116800,103200,8288250,201850,765400,2654000,770000,33495000,443800,485850,1086000,91300
US,US-TX,TX-10,247600,218250,17690250,426900,1619400,5618000,1628500,70770000,939300,1025625,2289750,193000
US,US-TX,TX-11,113900,100650,8101000,196875,746700,2589000,751000,32670000,433000,473775,1059000,88950
US,US-TX,TX-12,143500,126800,10193000,248000,940500,3262000,946500,41145000,545700,596925,1334250,112200
US,US-TX,TX-13,97300,85950,6914500,168100,637500,2211000,641500,27900000,369800,404550,904500,76000
US,US-TX,TX-14,116800,103100,8299000,201700,764800,2653000,769500,33465000,443700,485250,1084500,91250
US,US-TX,TX-15,110300,97400,7837500,190500,722300,2505000,727000,31590000,418800,458325,1023750,86250
US,US-TX,TX-16,147400,130150,10486750,254575,965500,3349000,971500,42210000,560000,612450,1368000,115100
US,US-TX,TX-17,125200,110500,8928750,216175,820000,2845000,825000,35872500,475700,519750,1161750,97750
US,US-TX,TX-18,377700,333000,26984500,651325,2471200,8572000,2485000,108022500,1433600,1564350,3494250,294650
US,US-TX,TX-19,109700,96950,7805000,189575,719000,2494000,723500,31462500,417000,456150,1020000,85700
US,US-TX,TX-2,178100,157150,12690250,307425,1166000,4045000,1173000,51000000,676300,739200,1651500,139050
US,US-TX,TX-20,128900,113700,9179750,222425,843400,2926000,848500,36885000,489300,534675,1194750,100700
US,US-TX,TX-21,216300,191150,15384500,373850,1417600,4918000,1426500,62055000,822700,899475,2012250,169300
US,US-TX,TX-22,250300,220700,17916500,431625,1637600,5683000,1647000,71535000,950000,1036425,2313000,195100
US,US-TX,TX-23,273900,240700,19672750,470800,1786400,6200000,1796000,77992500,1036100,1128900,2518500,212900
US,US-TX,TX-24,268500,237100,19084750,463750,1758600,6100000,1769500,76927500,1020100,1115700,2494500,209800
US,US-TX,TX-25,260900,230550,18536250,450925,1709800,5931000,1720500,74865000,992200,1085250,2428500,204200
